Name,JerseyNumber,Role,BattingStyle,BowlingStyle
Player 1,46,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_FAST
Player 2,78,BATTER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 3,25,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_SPIN
Player 4,72,BOWLER,RIGHT_HAND,LEFT_ARM_FAST
Player 5,36,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_SPIN
Player 6,4,BOWLER,LEFT_HAND,LEFT_ARM_SPIN
Player 7,63,BATTER,RIGHT_HAND,LEFT_ARM_SPIN
Player 8,55,BATTER,RIGHT_HAND,LEFT_ARM_FAST
Player 9,91,BATTER,RIGHT_HAND,RIGHT_ARM_FAST
Player 10,81,ALL_ROUNDER,RIGHT_HAND,LEFT_ARM_SPIN
Player 11,18,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 12,20,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_FAST
Player 13,54,BATTER,LEFT_HAND,NONE
Player 14,98,BOWLER,LEFT_HAND,RIGHT_ARM_FAST
Player 15,90,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_FAST
Player 16,45,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 17,75,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_FAST
Player 18,83,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_SPIN
Player 19,76,BATTER,LEFT_HAND,RIGHT_ARM_SPIN
Player 20,18,WICKET_KEEPER,RIGHT_HAND,NONE
Player 21,26,BATTER,RIGHT_HAND,RIGHT_ARM_FAST
Player 22,26,BOWLER,LEFT_HAND,RIGHT_ARM_FAST
Player 23,13,BATTER,LEFT_HAND,LEFT_ARM_SPIN
Player 24,97,WICKET_KEEPER,RIGHT_HAND,NONE
Player 25,47,BOWLER,LEFT_HAND,LEFT_ARM_SPIN
Player 26,81,ALL_ROUNDER,RIGHT_HAND,LEFT_ARM_FAST
Player 27,98,WICKET_KEEPER,LEFT_HAND,LEFT_ARM_SPIN
Player 28,9,WICKET_KEEPER,RIGHT_HAND,RIGHT_ARM_FAST
Player 29,46,BATTER,RIGHT_HAND,RIGHT_ARM_FAST
Player 30,82,BOWLER,LEFT_HAND,RIGHT_ARM_FAST
Player 31,52,ALL_ROUNDER,LEFT_HAND,LEFT_ARM_SPIN
Player 32,33,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_SPIN
Player 33,15,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_FAST
Player 34,55,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_FAST
Player 35,31,BOWLER,RIGHT_HAND,RIGHT_ARM_FAST
Player 36,81,BOWLER,LEFT_HAND,RIGHT_ARM_FAST
Player 37,52,BATTER,LEFT_HAND,NONE
Player 38,92,ALL_ROUNDER,RIGHT_HAND,LEFT_ARM_SPIN
Player 39,1,ALL_ROUNDER,RIGHT_HAND,LEFT_ARM_SPIN
Player 40,72,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_FAST
Player 41,8,BOWLER,LEFT_HAND,LEFT_ARM_SPIN
Player 42,67,BATTER,LEFT_HAND,LEFT_ARM_SPIN
Player 43,77,WICKET_KEEPER,RIGHT_HAND,NONE
Player 44,10,BOWLER,LEFT_HAND,LEFT_ARM_SPIN
Player 45,91,ALL_ROUNDER,LEFT_HAND,LEFT_ARM_SPIN
Player 46,50,BOWLER,RIGHT_HAND,LEFT_ARM_FAST
Player 47,91,BOWLER,RIGHT_HAND,LEFT_ARM_FAST
Player 48,48,BATTER,RIGHT_HAND,NONE
Player 49,49,WICKET_KEEPER,LEFT_HAND,LEFT_ARM_SPIN
Player 50,0,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_FAST
Player 51,43,BOWLER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 52,5,WICKET_KEEPER,LEFT_HAND,LEFT_ARM_SPIN
Player 53,93,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 54,33,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_FAST
Player 55,93,BOWLER,RIGHT_HAND,RIGHT_ARM_FAST
Player 56,96,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_SPIN
Player 57,8,BATTER,LEFT_HAND,RIGHT_ARM_FAST
Player 58,10,ALL_ROUNDER,RIGHT_HAND,LEFT_ARM_SPIN
Player 59,75,BOWLER,LEFT_HAND,LEFT_ARM_FAST
Player 60,25,BATTER,RIGHT_HAND,NONE
Player 61,36,BATTER,LEFT_HAND,RIGHT_ARM_SPIN
Player 62,90,ALL_ROUNDER,LEFT_HAND,LEFT_ARM_SPIN
Player 63,65,BATTER,LEFT_HAND,LEFT_ARM_FAST
Player 64,93,WICKET_KEEPER,LEFT_HAND,LEFT_ARM_SPIN
Player 65,24,BATTER,LEFT_HAND,RIGHT_ARM_FAST
Player 66,59,WICKET_KEEPER,LEFT_HAND,LEFT_ARM_FAST
Player 67,28,ALL_ROUNDER,LEFT_HAND,LEFT_ARM_SPIN
Player 68,43,WICKET_KEEPER,RIGHT_HAND,LEFT_ARM_FAST
Player 69,28,BATTER,RIGHT_HAND,RIGHT_ARM_FAST
Player 70,87,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_SPIN
Player 71,47,WICKET_KEEPER,RIGHT_HAND,NONE
Player 72,81,ALL_ROUNDER,LEFT_HAND,LEFT_ARM_FAST
Player 73,56,BATTER,LEFT_HAND,NONE
Player 74,43,WICKET_KEEPER,LEFT_HAND,NONE
Player 75,56,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_FAST
Player 76,82,BOWLER,RIGHT_HAND,LEFT_ARM_SPIN
Player 77,0,BATTER,RIGHT_HAND,NONE
Player 78,75,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 79,67,BOWLER,RIGHT_HAND,LEFT_ARM_SPIN
Player 80,27,BATTER,LEFT_HAND,LEFT_ARM_SPIN
Player 81,55,BOWLER,RIGHT_HAND,RIGHT_ARM_FAST
Player 82,36,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_FAST
Player 83,38,WICKET_KEEPER,LEFT_HAND,LEFT_ARM_FAST
Player 84,3,ALL_ROUNDER,RIGHT_HAND,LEFT_ARM_SPIN
Player 85,76,BOWLER,LEFT_HAND,LEFT_ARM_FAST
Player 86,59,BATTER,LEFT_HAND,LEFT_ARM_FAST
Player 87,12,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 88,3,ALL_ROUNDER,LEFT_HAND,LEFT_ARM_SPIN
Player 89,50,WICKET_KEEPER,RIGHT_HAND,RIGHT_ARM_SPIN
Player 90,76,BOWLER,RIGHT_HAND,LEFT_ARM_FAST
Player 91,87,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_SPIN
Player 92,67,BATTER,RIGHT_HAND,LEFT_ARM_SPIN
Player 93,95,BOWLER,RIGHT_HAND,LEFT_ARM_SPIN
Player 94,21,ALL_ROUNDER,RIGHT_HAND,RIGHT_ARM_FAST
Player 95,33,ALL_ROUNDER,LEFT_HAND,RIGHT_ARM_SPIN
Player 96,44,BATTER,LEFT_HAND,RIGHT_ARM_FAST
Player 97,63,WICKET_KEEPER,LEFT_HAND,RIGHT_ARM_SPIN
Player 98,51,WICKET_KEEPER,RIGHT_HAND,NONE
Player 99,61,BOWLER,LEFT_HAND,LEFT_ARM_FAST
Player 100,59,BATTER,LEFT_HAND,LEFT_ARM_FAST
